age;sex;gender;marital_status;citizenship;ethnicity;educational_attainment;employment_status;industry;hours;earnings;disability_status;life_satisfaction
30 to 34 years;Female;Woman;Now married (except separated);Native;Asian;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$100,000 or more;Without a disability;8
30 to 34 years;Female;Woman;Now married (except separated);Foreign-born (naturalized);Asian;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$75,000 to $99,999;Without a disability;8
30 to 34 years;Female;Woman;Never married;Native;Asian;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$100,000 or more;Without a disability;8
30 to 34 years;Female;Woman;Now married (except separated);Foreign-born (naturalized);Asian;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$100,000 or more;Without a disability;8
30 to 34 years;Female;Woman;Now married (except separated);Foreign-born (naturalized);Asian;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$100,000 or more;Without a disability;8
30 to 34 years;Female;Woman;Now married (except separated);Foreign-born (naturalized);Asian;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$100,000 or more;Without a disability;8
35 to 39 years;Female;Woman;Now married (except separated);Foreign-born (naturalized);Asian;Bachelor's degree or higher;Employee of private company workers;Information;35 or more hours per week;$100,000 or more;Without a disability;8
35 to 39 years;Female;Woman;Now married (except separated);Foreign-born (naturalized);Asian;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$100,000 or more;Without a disability;8
35 to 39 years;Female;Woman;Now married (except separated);Native;Asian;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$100,000 or more;Without a disability;8
35 to 39 years;Female;Woman;Now married (except separated);Foreign-born (naturalized);Asian;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$100,000 or more;Without a disability;8
35 to 39 years;Female;Woman;Now married (except separated);Foreign-born (naturalized);Asian;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$100,000 or more;Without a disability;8
35 to 39 years;Female;Woman;Now married (except separated);Foreign-born (naturalized);Asian;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$100,000 or more;Without a disability;8
35 to 39 years;Female;Woman;Now married (except separated);Foreign-born (naturalized);Asian;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$100,000 or more;Without a disability;8
