age;sex;gender;marital_status;citizenship;ethnicity;educational_attainment;employment_status;industry;hours;earnings;disability_status;life_satisfaction
30 to 34 years;Male;Man;Never married;Native;White;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$100,000 or more;Without a disability;8
35 to 39 years;Male;Man;Never married;Native;White;Bachelor's degree or higher;Employee of private company workers;Wholesale trade;35 or more hours per week;$50,000 to $64,999;Without a disability;9
40 to 44 years;Male;Man;Never married;Native;White;Bachelor's degree or higher;Employee of private company workers;Wholesale trade;35 or more hours per week;$100,000 or more;Without a disability;10
40 to 44 years;Male;Man;Never married;Native;White;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$100,000 or more;Without a disability;8
30 to 34 years;Male;Man;Never married;Native;White;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$100,000 or more;Without a disability;8
20 to 24 years;Male;Man;Never married;Native;White;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$100,000 or more;Without a disability;9
30 to 34 years;Male;Man;Never married;Native;White;Some college or Associate's degree;Employee of private company workers;Wholesale trade;35 or more hours per week;$50,000 to $64,999;Without a disability;8
40 to 44 years;Male;Man;Never married;Native;White;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$100,000 or more;Without a disability;8
30 to 34 years;Male;Man;Never married;Native;White;Bachelor's degree or higher;Employee of private company workers;Wholesale trade;35 or more hours per week;$50,000 to $64,999;Without a disability;8
35 to 39 years;Male;Man;Never married;Native;White;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$100,000 or more;Without a disability;9
40 to 44 years;Male;Man;Never married;Native;White;Bachelor's degree or higher;Employee of private company workers;Wholesale trade;35 or more hours per week;$50,000 to $64,999;Without a disability;7
40 to 44 years;Male;Man;Never married;Native;White;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$50,000 to $64,999;Without a disability;8
40 to 44 years;Male;Man;Never married;Native;White;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$50,000 to $64,999;Without a disability;8
40 to 44 years;Male;Man;Never married;Native;White;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$50,000 to $64,999;Without a disability;8
30 to 34 years;Male;Man;Never married;Native;White;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$50,000 to $64,999;Without a disability;8
35 to 39 years;Male;Man;Never married;Native;White;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$50,000 to $64,999;Without a disability;8
35 to 39 years;Male;Man;Never married;Native;White;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$50,000 to $64,999;Without a disability;8
40 to 44 years;Male;Man;Never married;Native;White;Bachelor's degree or higher;Employee of private company workers;Professional, scientific, and management, and administrative and waste management services;35 or more hours per week;$50,000 to $64,999;Without a disability;8
