Age,percentage_census,gemini,gemma,olmo,gpt
<05,0.05698137481326767,0.0,0.0,0.0,0.0
05-09,0.06047865392306823,0.0,0.0,0.0,0.0
10-14,0.06485181424069025,0.0,0.0,0.0,0.0
15-19,0.06562146102107197,0.0,0.0,0.0,0.0
20-24,0.06481271229360763,0.0,0.0,0.03,0.0
25-29,0.06751351449575999,0.005,0.0,0.06,0.17
30-34,0.06936776571107328,0.645,0.58,0.45,0.83
35-39,0.0669493206634641,0.29,0.0,0.115,0.0
40-44,0.06390061131653732,0.06,0.42,0.345,0.0
45-49,0.0603267920331791,0.0,0.0,0.0,0.0
50-54,0.06256503778691584,0.0,0.0,0.0,0.0
55-59,0.06407159546353633,0.0,0.0,0.0,0.0
60-64,0.0641714247170637,0.0,0.0,0.0,0.0
65-69,0.0551775195905358,0.0,0.0,0.0,0.0
70-74,0.04498606355701541,0.0,0.0,0.0,0.0
75-79,0.02995970005373848,0.0,0.0,0.0,0.0
80-84,0.01907448756954006,0.0,0.0,0.0,0.0
>85,0.01919015074993485,0.0,0.0,0.0,0.0
