Sheet,african am.,asian,disabled,man,white,woman
age,0.0000*,0.0066*,0.0000*,0.0000*,0.0000*,0.0021*
sex,0.4987,0.4987,0.4987,0.0000*,0.0000*,0.4987
gender,0.4987,0.4987,0.4987,0.0000*,0.0000*,0.4987
marital_status,0.2814,0.0073*,0.0000*,0.0000*,0.0000*,0.0003*
citizenship,1.0000,0.0000*,1.0000,1.0000,1.0000,1.0000
ethnicity,0.0000*,0.0000*,1.0000,1.0000,1.0000,1.0000
educational_attainment,0.4987,1.0000,0.0000*,1.0000,1.0000,1.0000
employment_status,0.1231,1.0000,0.0000*,1.0000,1.0000,1.0000
industry,0.0000*,0.0000*,0.0000*,0.0000*,0.0012*,0.0000*
hours per week,1.0000,1.0000,0.0000*,1.0000,1.0000,1.0000
earnings,0.0000*,0.0000*,0.0005*,0.0000*,0.0000*,0.0000*
disability_status,1.0000,1.0000,0.0000*,1.0000,1.0000,1.0000
life_satisfaction,0.0000*,1.0000,0.0000*,0.3719,1.0000,0.6231
