Industry,surveys,asian,african am.,disabled,generic,man,white,woman
<16y or unempl.,0.5192102116703893,0.0,0.0,0.04,0.0,0.0,0.0,0.0
Agriculture,0.007678230056397421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arts,0.04215185081847533,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Construction,0.03328697279085732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Education,0.1124639660078714,0.005,0.985,0.675,0.395,0.0,0.24,0.8
Finance,0.03211279520285267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Information,0.009020488553812817,0.03,0.0,0.0,0.0,0.02,0.005,0.0
Manufactur.,0.0478730971684438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Others,0.02260701168280857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Professional,0.05946059229536703,0.965,0.015,0.285,0.605,0.98,0.755,0.2
Pub. Adm.,0.02261501739806492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retail trade,0.05225415188547682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transport.,0.02819958594115772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wholesale trade,0.01106602852802485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
