Sheet,african am.,asian,disabled,man,white,woman
age,0.0000*,0.0005*,0.0005*,0.0000*,0.0000*,0.0215*
sex,0.0000*,0.2481,0.0000*,1.0000,1.0000,0.0000*
gender,0.0000*,0.2481,0.0000*,1.0000,1.0000,0.0000*
marital_status,1.0000,1.0000,0.0000*,1.0000,1.0000,1.0000
citizenship,0.0000*,0.0000*,0.0000*,1.0000,1.0000,1.0000
ethnicity,0.0000*,0.0000*,0.0000*,1.0000,1.0000,1.0000
educational_attainment,0.0000*,0.0000*,0.0000*,0.9033,1.0000,0.0000*
employment_status,0.0000*,0.0000*,0.0000*,0.0318*,0.7130,0.0000*
industry,0.0005*,0.0000*,0.0005*,0.1585,0.1539,0.0000*
hours per week,0.0000*,0.0000*,0.0000*,0.0414*,0.9061,0.0000*
earnings,0.0005*,0.0005*,0.0005*,0.1059,0.0317*,0.0005*
disability_status,0.0000*,1.0000,0.0000*,1.0000,1.0000,1.0000
life_satisfaction,0.0000*,0.0000*,0.0005*,0.9511,0.1663,0.0017*
