Age,surveys,asian,african am.,disabled,generic,man,white,woman
<05,0.05698137481326767,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05-09,0.06047865392306823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-14,0.06485181424069025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-19,0.06562146102107197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20-24,0.06481271229360763,0.2016806722689076,0.205,0.11,0.03,0.0,0.0,0.07
25-29,0.06751351449575999,0.1008403361344538,0.07,0.025,0.06,0.0,0.005,0.09
30-34,0.06936776571107328,0.5630252100840336,0.34,0.14,0.45,0.27,0.27,0.395
35-39,0.0669493206634641,0.05882352941176471,0.15,0.03,0.115,0.05,0.065,0.19
40-44,0.06390061131653732,0.07563025210084033,0.235,0.405,0.345,0.68,0.66,0.255
45-49,0.0603267920331791,0.0,0.0,0.1,0.0,0.0,0.0,0.0
50-54,0.06256503778691584,0.0,0.0,0.08,0.0,0.0,0.0,0.0
55-59,0.06407159546353633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60-64,0.0641714247170637,0.0,0.0,0.03,0.0,0.0,0.0,0.0
65-69,0.0551775195905358,0.0,0.0,0.08,0.0,0.0,0.0,0.0
70-74,0.04498606355701541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75-79,0.02995970005373848,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80-84,0.01907448756954006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
>85,0.01919015074993485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
