Industry,surveys,asian,african am.,disabled,generic,man,white,woman
<16y or unempl.,0.5192102116703893,0.0,0.005,0.175,0.0,0.0,0.0,0.0
Agriculture,0.007678230056397421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arts,0.04215185081847533,0.0,0.095,0.01,0.0,0.0,0.0,0.015
Construction,0.03328697279085732,0.0,0.01,0.0,0.0,0.0,0.0,0.0
Education,0.1124639660078714,0.06722689075630252,0.485,0.25,0.04,0.015,0.015,0.76
Finance,0.03211279520285267,0.0,0.0,0.0,0.015,0.0,0.005,0.0
Information,0.009020488553812817,0.1008403361344538,0.0,0.0,0.02,0.015,0.015,0.0
Manufactur.,0.0478730971684438,0.0,0.0,0.0,0.01,0.0,0.01,0.0
Others,0.02260701168280857,0.05042016806722689,0.085,0.43,0.005,0.0,0.0,0.01
Professional,0.05946059229536703,0.5882352941176471,0.21,0.075,0.745,0.815,0.855,0.205
Pub. Adm.,0.02261501739806492,0.0,0.005,0.06,0.0,0.0,0.0,0.0
Retail trade,0.05225415188547682,0.0,0.01,0.0,0.005,0.0,0.0,0.0
Transport.,0.02819958594115772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wholesale trade,0.01106602852802485,0.1932773109243698,0.095,0.0,0.16,0.155,0.1,0.01
