Earnings,surveys,asian,african am.,disabled,generic,man,white,woman
<16y or no pay,0.4683053010952216,0.1512605042016807,0.245,0.915,0.03,0.0,0.02,0.095
"$1-$9,999",0.005245262803774173,0.0,0.005,0.01,0.0,0.0,0.0,0.0
"$10,000-$14,999",0.006508742776579411,0.05042016806722689,0.03,0.005,0.0,0.0,0.005,0.015
"$15,000-$24,999",0.02206809858155333,0.02521008403361345,0.05,0.005,0.0,0.0,0.0,0.015
"$25,000-$34,999",0.03764760556307255,0.1428571428571428,0.44,0.06,0.05,0.085,0.065,0.205
"$35,000-$49,999",0.06699291736386989,0.06722689075630252,0.065,0.0,0.095,0.075,0.02,0.18
"$50,000-$64,999",0.05316923432208079,0.2605042016806723,0.115,0.0,0.33,0.37,0.345,0.44
"$65,000-$74,999",0.0284204245441932,0.01680672268907563,0.0,0.0,0.0,0.0,0.0,0.0
"$75,000-$99,999",0.04818279590143482,0.04201680672268908,0.0,0.0,0.035,0.035,0.055,0.0
">=$100,000",0.08190753179255757,0.2436974789915966,0.05,0.005,0.46,0.435,0.49,0.05
